	raw_category	category	mpcat40	ade20k	ade20k_net					
2290	wheelbarrow	wheelbarrow	objects	truck	truck					
2291	whine shelf	whine shelf	misc	shelf	shelf					
2292	whiteboard	whiteboard	tv_monitor	computer	computer					
2293	widnow frame	window frame	window	window	window					
2294	wifi repeater	wifi router	objects	computer	computer					
2295	wifi router	wifi router	objects	computer	computer					
2296	wifi transmitter	wifi router	objects	computer	computer					
2297	wind chime	decoration	objects	sconce	sconce					
2298	windo	window	window	window	window					
2299	windoe frame	window frame	window	window	window					
2300	windoow shade	window shade	blinds	window	window					
2301	windor	window	window	window	window					
2302	window	window	window	window	window					
2303	window  curtain	window curtain	curtain	curtain	curtain					
2304	window  frame	window frame	window	window	window					
2305	window  glass	window glass	objects	"glass, drinking glass"	"glass, drinking glass"					
2306	window  shade	window shade	blinds	"blind, screen"	window					
2307	window /otherroom	window /otherroom	window	window	window					
2308	window /outside	window /outside	window	window	window					
2309	window /wall	window	window	window	window					
2310	window bars	window	window	window	window					
2311	window behind shutters	window	window	window	window					
2312	window blinds	blinds	blinds	"blind, screen"	fireplace					
2313	window curtain	window curtain	curtain	curtain	curtain					
2314	window curtain bar	window curtain	curtain	curtain	curtain					
2315	window fame	window frame	window	window	window					
2316	window fram	window frame	window	window	window					
2317	window frame	window frame	window	window	window					
2318	window frame /otherroom	window frame /otherroom	window	window	window					
2319	window glass	window glass	objects	"glass, drinking glass"	"glass, drinking glass"					
2320	window glass /outside	window	window	window	window					
2321	window pane	window	window	window	window					
2322	window panel	window	window	window	window					
2323	window panes	window	window	window	window					
2324	window place	window	window	window	window					
2325	window rame	window	window	window	window					
2326	window seat	window seat	seating	seat	seat					
2327	window shade	window shade	blinds	"blind, screen"	window					
2328	window shades	window shade	blinds	"blind, screen"	window					
2329	window shutter	window shutter	objects	"blind, screen"	window					
2330	window shutters	window shutters	objects	"blind, screen"	window					
2331	window sill	window frame	window	window	window					
2332	window valence	window valence	curtain	curtain	window					
2333	window/door	window/door	misc	window	window					
2334	windowframe	window frame	window	window	window					
2335	windown frame	window frame	window	window	window					
2336	windows	window	window	window	window					
2337	windows frame	window frame	window	window	window					
2338	windowsil	window frame	window	window	window					
2339	windowsill	window frame	window	window	window					
2340	windw frame	window frame	window	window	window					
2341	wine	wine	misc	bottle	bottle					
2342	wine bottle	wine bottle	objects	bottle	bottle					
2343	wine cabinet	wine cabinet	cabinet	cabinet	cabinet					
2344	wine rack	wine rack	misc	"barrel, cask"	"barrel, cask"					
2345	wine refrigerator	refrigerator	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
2346	wine storage	wine storage	shelving	shelf	"tank, storage tank"					
2347	winndow	window	window	window	window					
2348	winndow  frame	window frame	window	window	window					
2349	wire	wire	misc	pole	pole					
2350	wood	wood	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
2351	wood burner	fireplace	fireplace	fireplace	fireplace					
2352	wood frame	frame	misc	"bridge, span"	"bridge, span"					
2353	wooden balk	wood	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
2354	wooden panel	panel	board_panel	cabinet	cabinet					
2355	wool	cloth	objects	clothes	"blanket, cover"					
2356	woor frame	frame	misc	"bridge, span"	"bridge, span"					
2357	workout bike	workout bike	misc	bicycle	bicycle					
2358	workout weight	weights	gym_equipment	"step, stair"	"step, stair"					
2359	workstation	workstation	objects	computer	computer					
2360	worktop	worktop	misc	countertop	countertop					
2361	wreath	wreath	objects	vase	vase					
2362	wrench	wrench	misc	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
2363	yoga mat	yoga mat	misc	rug	sofa					
2364	~aper	unknown	unlabeled	unlabeled	unlabeled					
2365	Bamp	lamp	lighting	lamp	lamp					
2366	[ign	sign	misc	"signboard, sign"	"signboard, sign"					
